Year,State,ProportionGrad
2021,NSW,73.4
2021,VIC,83.7
2021,QLD,80.6
2021,SA,93.4
2021,WA,78.9
2021,TAS,57.7
2021,NT,55.7
2021,ACT,84
2020,NSW,70.4
2020,VIC,80.1
2020,QLD,77.2
2020,SA,91.1
2020,WA,79.8
2020,TAS,58.9
2020,NT,56.1
2020,ACT,80.6
2019,NSW,69.9
2019,VIC,78.9
2019,QLD,61.1
2019,SA,89.9
2019,WA,80.1
2019,TAS,58
2019,NT,50.8
2019,ACT,80.4
2018,NSW,72.9
2018,VIC,81.7
2018,QLD,83.7
2018,SA,87.2
2018,WA,79.1
2018,TAS,58.9
2018,NT,47.9
2018,ACT,84.3
2017,NSW,74
2017,VIC,81
2017,QLD,85
2017,SA,88
2017,WA,79
2017,TAS,61
2017,NT,51
2017,ACT,81
2016,NSW,73
2016,VIC,80
2016,QLD,72
2016,SA,92
2016,WA,77
2016,TAS,60
2016,NT,50
2016,ACT,79
2015,NSW,73
2015,VIC,82
2015,QLD,71
2015,SA,86
2015,WA,73
2015,TAS,51
2015,NT,44
2015,ACT,87
2014,NSW,73
2014,VIC,82
2014,QLD,70
2014,SA,83
2014,WA,48
2014,TAS,50
2014,NT,41
2014,ACT,85
2013,NSW,72
2013,VIC,81
2013,QLD,69
2013,SA,82
2013,WA,73
2013,TAS,47
2013,NT,39
2013,ACT,82
2012,NSW,72
2012,VIC,80
2012,QLD,70
2012,SA,83
2012,WA,73
2012,TAS,47
2012,NT,38
2012,ACT,82
2011,NSW,72
2011,VIC,78
2011,QLD,69
2011,SA,77
2011,WA,72
2011,TAS,43
2011,NT,38
2011,ACT,76
2010,NSW,67
2010,VIC,66
2010,QLD,66
2010,SA,65
2010,WA,70
2010,TAS,41
2010,NT,30
2010,ACT,78
2009,NSW,65
2009,VIC,64
2009,QLD,65
2009,SA,65
2009,WA,65
2009,TAS,38
2009,NT,32
2009,ACT,77
