State,Gender,Year,Students
ACT,Male,2021,38678
ACT,Male,2022,39005
ACT,Female,2021,36680
ACT,Female,2022,36927
NSW,Male,2021,635311
NSW,Male,2022,634442
NSW,Female,2021,608524
NSW,Female,2022,607783
NT,Male,2021,20640
NT,Male,2022,20389
NT,Female,2021,19924
NT,Female,2022,19697
QLD,Male,2021,442947
QLD,Male,2022,444481
QLD,Female,2021,424400
QLD,Female,2022,426338
SA,Male,2021,140222
SA,Male,2022,140717
SA,Female,2021,134080
SA,Female,2022,135048
TAS,Male,2021,41466
TAS,Male,2022,41405
TAS,Female,2021,40279
TAS,Female,2022,40105
VIC,Male,2021,516020
VIC,Male,2022,518795
VIC,Female,2021,495158
VIC,Female,2022,497275
WA,Male,2021,223296
WA,Male,2022,225366
WA,Female,2021,213092
WA,Female,2022,214739
